adult,belongs_to,budget,genres,homepage,id,name,year,poster_path,overview
False,,65000000,Adventure Fantasy Family,,8844,Jumanji,1995-12-15,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into t...
False,,16000000,Comedy Drama Romance,,31357,Waiting to Exhale,1995-12-22,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive "good man" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo ...
False,,60000000,Action Crime Drama Thriller,,949,Heat,1995-12-15,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recog...
False,,58000000,Comedy Romance,,11860,Sabrina,1995-12-15,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.
False,,35000000,Action Adventure Thriller,,9091,Sudden Death,1995-12-22,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose ...
False,,62000000,Comedy Drama Romance,,9087,The American President,1995-11-17,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts...
False,,44000000,History Drama,,10858,Nixon,1995-12-22,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his tr...
False,,98000000,Action Adventure,,1408,Cutthroat Island,1995-12-22,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical o...
False,,52000000,Drama Crime,,524,Casino,1995-11-22,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.
False,,16500000,Drama Romance,,4584,Sense and Sensibility,1995-12-13,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.
False,,4000000,Crime Comedy,,5,Four Rooms,1995-12-09,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one ...
False,,60000000,Action Comedy Crime,,11517,Money Train,1995-11-21,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.
False,,50000000,Action Adventure Crime Thriller,,9691,Assassins,1995-10-06,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders...
False,,3600000,Drama Romance,http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,Leaving Las Vegas,1995-10-27,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-i...
False,,12000000,Comedy Drama Family,,9263,Now and Then,1995-10-20,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical sum...
False,,18000000,Fantasy Science Fiction Adventure,,902,La Cité des Enfants Perdus,1995-05-16,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.
False,,29500000,Science Fiction Thriller Mystery,,63,Twelve Monkeys,1995-12-29,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivor...
False,,11000000,Drama,,687,Dead Man Walking,1995-12-29,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him...
False,,12000000,Comedy Drama Romance,,9603,Clueless,1995-07-19,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Embold...
False,,10000000,Action Crime Drama History,,11443,Dead Presidents,1995-10-06,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,Depicts a heist of old bills, retired from circulation and destined by the government to be "money to burn". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietn...
False,,19000000,Drama Romance,,35196,Restoration,1995-12-29,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life prov...
False,,20000000,Fantasy Drama Comedy Thriller,,577,To Die For,1995-05-20,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidma...
False,,10000000,Drama Romance,,11861,How To Make An American Quilt,1995-10-06,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cle...
False,,33000000,Crime Mystery Thriller,http://www.sevenmovie.com/,807,Se7en,1995-09-22,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the "seven deadly sins" in this dark and haunting film that takes viewers from the tortured remains of one...
False,,6000000,Drama Crime Thriller,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,The Usual Suspects,1995-07-19,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners int...
False,,15000000,Comedy Romance,,11448,Mighty Aphrodite,1995-09-13,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when h...
False,,45000000,Adventure Family Fantasy,,11359,The Indian in the Cupboard,1995-07-14,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.
False,,20000000,Drama Thriller,,17182,Eye for an Eye,1996-01-12,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her ...
False,,15000000,Comedy,,9536,Bio-Dome,1996-01-12,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the ...
False,,50000000,Action Thriller Romance,,11859,Fair Game,1995-11-03,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her
False,,15000000,Comedy Family,,36929,Big Bully,1996-01-26,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.
False,,44000000,Drama Thriller,,9623,The Juror,1996-02-02,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,With his gangster boss on trial for murder, a mob thug known as "the Teacher" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if sh...
False,,8000000,Drama Crime,,400,Things to Do in Denver When You're Dead,1995-12-01,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the ...
False,,900000,Drama Comedy,,880,Antonia,1995-09-12,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly...
False,,38000000,Action Drama,,10534,White Squall,1996-02-02,/3a5nomeyzJF4gG26HouCtce99ki.jpg,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
